,MAE,RMSE,SS-RMSE,R²
LNN Predictions,13.171108544802921,29.39294426052599,0.20869453781887404,0.9834786737799182
SVM predictions,17.51012929317139,37.452557730470886,-0.008283254718941313,0.9731761143707122
TCLNNGRU Predictions,15.759051206199553,29.931834317950496,0.19418674839242334,0.9828673165939971
Residual LNNGRU Predictions,11.576963090316811,28.426130806041556,0.23472271521623578,0.9845476610905748
LSTM Predictions,16.030237380983287,36.889453034516194,0.006876431828255147,0.9739766527857993
GRU Predictions,15.850123435320391,36.72868427179987,0.011204586196117416,0.974202984398817
RandomForest Predictions,11.776369933050299,29.646688755958643,0.20186332678215224,0.9831921906825624
CatBoost Predictions,12.938128342598498,30.267519727305075,0.18514955580489756,0.9824808757512142
