Model,RMSE (Power > 10),MAPE (Power > 10)
LNN,39.798710631857126,0.1210939083527027
SVM,50.790638419536215,0.1286348808732841
TCLNNGRU,39.62244661544434,0.1282723620137348
ResidualTCLNNGRU,38.520870829079755,0.09730627672623075
LSTM,49.990512689706165,0.11873147702339475
GRU,49.76556188660466,0.11618857401941396
RandomForest,40.30489328384907,0.08162901191192058
CatBoost,40.96553497155223,0.09730197943525813
