Model,MAE,MSE,RMSE,NRMSE
MLP,62.46662318050433,8588.65594859861,92.67500174587865,0.2950483795467701
SVM,76.90437794223293,15446.409498749497,124.28358499314983,0.39568027694289054
LSTM,207.53366751854722,62441.68543669139,249.88334365597757,0.7955621584009125
CNN-LSTM,207.2260021324581,62243.42234725743,249.4863169539713,0.794298130893638
