iter	Passed	Remaining
432	2390	369
433	2396	364
434	2401	358
435	2406	353
436	2411	347
437	2416	342
438	2421	336
439	2426	330
440	2431	325
441	2436	319
442	2441	314
443	2446	308
444	2452	303
445	2457	297
446	2462	291
447	2467	286
448	2472	280
449	2477	275
450	2483	269
451	2489	264
452	2495	258
453	2500	253
454	2505	247
455	2511	242
456	2516	236
457	2521	231
458	2526	225
459	2532	220
460	2537	214
461	2542	209
462	2547	203
463	2553	198
464	2558	192
465	2563	187
466	2567	181
467	2572	175
468	2577	170
469	2582	164
470	2588	159
471	2593	153
472	2598	148
473	2604	142
474	2609	137
475	2614	131
476	2619	126
477	2625	120
478	2631	115
479	2636	109
480	2642	104
481	2648	98
482	2653	93
483	2659	87
484	2665	82
485	2670	76
486	2676	71
487	2681	65
488	2686	60
489	2691	54
490	2696	49
491	2701	43
492	2707	38
493	2712	32
494	2717	27
495	2722	21
496	2727	16
497	2732	10
498	2737	5
499	2741	0
