iter	RMSE
0	167.8938997
1	151.8718969
2	137.515449
3	124.5341807
4	112.8722662
5	102.2589832
6	92.84548749
7	84.20434475
8	76.57116046
9	69.70512921
10	63.59035606
11	58.06536646
12	53.23727238
13	48.89954278
14	44.97389282
15	41.48998406
16	38.41746535
17	35.63835508
18	33.24090487
19	31.13049596
20	29.26436736
21	27.62653826
22	26.23623598
23	25.02818777
24	23.98018733
25	23.06462467
26	22.28177721
27	21.59168209
28	21.00797574
29	20.51212642
30	20.07421224
31	19.69124946
32	19.362105
33	19.08052095
34	18.82477597
35	18.61825834
36	18.4193059
37	18.19595608
38	18.02604024
39	17.88717524
40	17.76748823
41	17.61523275
42	17.49579623
43	17.41698669
44	17.28906793
45	17.2175525
46	17.12628704
47	17.06874632
48	16.9828294
49	16.92348163
50	16.85728478
51	16.80869524
52	16.74596419
53	16.68001484
54	16.61472683
55	16.54819111
56	16.50150318
57	16.46225111
58	16.40287968
59	16.35660824
60	16.29957084
61	16.25084802
62	16.1942906
63	16.15805008
64	16.12126681
65	16.08558906
66	16.04997687
67	16.02641213
68	15.98599251
69	15.93832786
70	15.90172003
71	15.85428543
72	15.82585495
73	15.79741004
74	15.76492694
75	15.72149421
76	15.68865799
77	15.66114336
78	15.64492255
79	15.61577451
80	15.58957352
81	15.55336762
82	15.52670964
83	15.51080886
84	15.48920198
85	15.47850803
86	15.44700976
87	15.42846488
88	15.40895986
89	15.38012661
90	15.35445623
91	15.33535806
92	15.32161346
93	15.29620695
94	15.27741954
95	15.25314424
96	15.23808788
97	15.21730391
98	15.20186524
99	15.17507745
100	15.1468709
101	15.11703286
102	15.10147743
103	15.06949004
104	15.05482524
105	15.04203655
106	15.03191516
107	15.01319783
108	14.9901576
109	14.97429025
110	14.94393415
111	14.91963396
112	14.902905
113	14.87175661
114	14.83928329
115	14.80844303
116	14.78984834
117	14.771868
118	14.7549656
119	14.734191
120	14.71223696
121	14.6988767
122	14.68387489
123	14.66479873
124	14.64838608
125	14.62669147
126	14.61630934
127	14.59819316
128	14.5770977
129	14.5604
130	14.54156727
131	14.52463997
132	14.50386564
133	14.49594241
134	14.47853408
135	14.46207559
136	14.44287653
137	14.41718419
138	14.40519575
139	14.38857577
140	14.37341806
141	14.36024632
142	14.34640771
143	14.33167287
144	14.31535406
145	14.30243193
146	14.28608117
