iter	RMSE
147	14.262844
148	14.24804981
149	14.23360314
150	14.21426275
151	14.20425642
152	14.19108714
153	14.18031235
154	14.16763857
155	14.14671237
156	14.14025517
157	14.1331217
158	14.11620632
159	14.10308052
160	14.0877308
161	14.07684386
162	14.06651212
163	14.05466464
164	14.03852327
165	14.03263155
166	14.01396464
167	13.99457586
168	13.98137557
169	13.96955267
170	13.95733494
171	13.94298107
172	13.92901555
173	13.91740158
174	13.90839068
175	13.897014
176	13.88023781
177	13.87298989
178	13.86518435
179	13.85133829
180	13.84449053
181	13.8393237
182	13.82945008
183	13.80837784
184	13.80322784
185	13.79737404
186	13.78532345
187	13.77205667
188	13.76334509
189	13.75352627
190	13.74636318
191	13.74100676
192	13.72189242
193	13.7088928
194	13.70225989
195	13.68644094
196	13.66915883
197	13.66277825
198	13.64918458
199	13.64441728
200	13.64015748
201	13.62486828
202	13.60771265
203	13.59825785
204	13.58902687
205	13.57856863
206	13.56960175
207	13.56510066
208	13.56097786
209	13.55506902
210	13.54799703
211	13.5426344
212	13.53792391
213	13.5220321
214	13.51585912
215	13.50998782
216	13.50233222
217	13.49180217
218	13.47691563
219	13.46573306
220	13.45340883
221	13.44566207
222	13.43743266
223	13.42960703
224	13.41806248
225	13.41133174
226	13.40691453
227	13.39970419
228	13.39613482
229	13.3918314
230	13.38869042
231	13.38412002
232	13.37432442
233	13.37071038
234	13.3614376
235	13.35625759
236	13.35011557
237	13.33695581
238	13.32890265
239	13.32393272
240	13.31532734
241	13.30102068
242	13.29584169
243	13.28863965
244	13.28091329
245	13.27131676
246	13.26651542
247	13.26100745
248	13.25313545
249	13.24574185
250	13.23343633
251	13.2258605
252	13.22115294
253	13.21140783
254	13.20646999
255	13.20198575
256	13.1975105
257	13.19321267
258	13.17526715
259	13.16927683
260	13.16093676
261	13.15613611
262	13.14589232
263	13.1357021
264	13.13006449
265	13.12291618
266	13.1183239
267	13.1147777
268	13.11129739
269	13.10590269
270	13.10111479
271	13.09919234
272	13.09547822
273	13.08885783
274	13.08204713
275	13.07552865
276	13.06871927
277	13.06379286
278	13.05561755
279	13.04751725
280	13.04062627
281	13.03496436
282	13.02734877
283	13.02299822
284	13.01184035
285	13.00593225
286	13.00157702
287	12.99131548
288	12.98484956
289	12.97385508
290	12.96442877
291	12.96123469
292	12.95578425
293	12.9524237
294	12.94674496
295	12.93994582
296	12.93344671
297	12.92608305
298	12.91851616
299	12.91335854
300	12.9077476
301	12.90228735
302	12.89923833
303	12.89364242
304	12.88429916
305	12.879593
306	12.87580193
307	12.86586741
308	12.86031908
309	12.85288595
310	12.85111228
311	12.84244999
312	12.83590073
313	12.82606929
314	12.823223
315	12.818068
316	12.81409951
317	12.81109542
318	12.80254193
319	12.79754608
320	12.79315925
321	12.78674437
322	12.78050539
323	12.77217671
324	12.76696791
325	12.7621887
326	12.75019863
327	12.73652309
328	12.72933072
329	12.72334718
330	12.71405105
331	12.70735884
332	12.70000459
333	12.69629393
334	12.68754783
335	12.67992331
336	12.67364146
337	12.66669281
338	12.66037106
339	12.65693374
340	12.65055221
341	12.64265845
342	12.63241143
343	12.62374217
344	12.61707175
345	12.61453483
346	12.60673349
347	12.60169142
348	12.59922654
349	12.59200839
350	12.58743001
351	12.57885307
352	12.57352432
353	12.56594245
354	12.56380793
355	12.56063645
356	12.5570961
357	12.55516789
358	12.54619699
359	12.54290421
360	12.53823352
361	12.53338139
362	12.53039634
363	12.52663403
364	12.52288376
365	12.51927505
366	12.51521381
367	12.51217505
368	12.50791146
369	12.5012096
370	12.49775058
371	12.49502721
372	12.4920498
373	12.48868264
374	12.48343189
375	12.47622851
376	12.46916584
377	12.46503332
378	12.45907574
379	12.45324501
380	12.44555761
381	12.44369553
382	12.44100909
383	12.43831332
384	12.43204658
385	12.4246092
386	12.42005618
387	12.41716608
388	12.41630625
389	12.41143347
390	12.40337124
391	12.39598728
392	12.38999665
393	12.38642832
394	12.38139853
395	12.37817887
396	12.37349034
397	12.36977028
398	12.3644611
399	12.36232164
400	12.35544707
401	12.34910805
402	12.34827115
403	12.34550374
404	12.3394288
405	12.33720769
406	12.33486854
407	12.3291412
408	12.32532946
409	12.3199191
410	12.31345104
411	12.30877391
412	12.30612349
413	12.30397448
414	12.29439039
415	12.28997619
416	12.28678131
417	12.27857199
418	12.27025262
419	12.26490206
420	12.26072685
421	12.2502099
422	12.2402035
423	12.23544153
424	12.2274102
425	12.22255962
426	12.2163927
427	12.21124128
428	12.20649493
429	12.20169079
430	12.1956122
431	12.19101475
432	12.18559969
433	12.17907525
434	12.17384833
435	12.1698065
436	12.16901223
437	12.16607295
438	12.15990283
439	12.15455868
440	12.14626903
441	12.14304025
442	12.13900142
443	12.13517917
444	12.13144241
445	12.12842964
446	12.1229642
447	12.11873448
448	12.11555244
449	12.11481961
450	12.11185063
451	12.10602024
452	12.10108257
453	12.09731951
454	12.09331383
455	12.0905201
456	12.08396934
457	12.07862299
458	12.07457387
459	12.06969376
460	12.06705345
461	12.06563866
462	12.06031504
463	12.05657577
464	12.0493571
465	12.04207723
466	12.03738205
467	12.03305106
468	12.02816159
469	12.02317551
470	12.02014518
471	12.01524978
472	12.01157522
473	12.00907282
474	12.00452525
475	12.00318158
476	11.99611626
477	11.99224574
478	11.98603965
479	11.98073771
480	11.97823638
481	11.97518928
482	11.97240171
483	11.9666953
484	11.96384616
485	11.96215542
486	11.95421641
487	11.95154524
488	11.94749293
489	11.93926334
490	11.93618683
491	11.93435661
492	11.93114361
493	11.9271478
494	11.92324104
495	11.91850971
496	11.91529486
497	11.91119213
498	11.90974491
499	11.90518062
